"","subject","item","list","phrase","word","raw_rt","sentence","removed_rt","subject2","rt","accessible_G","inaccessible_G","accessible","inaccessible"
"98398",28,2,"binding3","5","himself",814,"Mr. Johnson said that the woman taught himself how to cook last year.",814,"28/5",814,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"103786",30,2,"binding3","5","himself",589,"Mr. Johnson said that the woman taught himself how to cook last year.",589,"30/5",589,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"120210",35,2,"binding3","5","himself",1844,"Mr. Johnson said that the woman taught himself how to cook last year.",1844,"35/5",1844,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"122211",36,2,"binding3","5","himself",1848,"Mr. Johnson said that the woman taught himself how to cook last year.",1848,"36/5",1848,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"144569",44,2,"binding3","5","himself",549,"Mr. Johnson said that the woman taught himself how to cook last year.",549,"44/5",549,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"22692",2,2,"binding4","5","himself",2024,"Miss Kelly said that the woman taught himself how to cook last year.",2024,"2/5",2024,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"62308",17,2,"binding4","5","himself",378,"Miss Kelly said that the woman taught himself how to cook last year.",378,"17/5",378,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"96040",27,2,"binding4","5","himself",626,"Miss Kelly said that the woman taught himself how to cook last year.",626,"27/5",626,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"107257",31,2,"binding4","5","himself",714,"Miss Kelly said that the woman taught himself how to cook last year.",714,"31/5",714,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"115270",33,2,"binding4","5","himself",627,"Miss Kelly said that the woman taught himself how to cook last year.",627,"33/5",627,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"117754",34,2,"binding4","5","himself",789,"Miss Kelly said that the woman taught himself how to cook last year.",789,"34/5",789,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"160930",48,2,"binding4","5","himself",926,"Miss Kelly said that the woman taught himself how to cook last year.",926,"48/5",NA,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"162490",49,2,"binding4","5","himself",537,"Miss Kelly said that the woman taught himself how to cook last year.",537,"49/5",537,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"22230",2,3,"binding1","5","herself",671,"Miss Kim heard that the queen talked about herself happily at the party.",671,"2/5",671,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"62875",17,3,"binding1","5","herself",499,"Miss Kim heard that the queen talked about herself happily at the party.",499,"17/5",499,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"97048",27,3,"binding1","5","herself",183,"Miss Kim heard that the queen talked about herself happily at the party.",183,"27/5",183,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
