"","subject","item","list","phrase","word","raw_rt","sentence","removed_rt","subject2","rt","accessible_G","inaccessible_G","accessible","inaccessible"
"155025",47,3,"binding2","6","happily",731,"Mr. Williams heard that the queen talked about herself happily at the party.",731,"47/6",731,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"43638",10,3,"binding3","6","happily",408,"Mr. Williams heard that the queen talked about himself happily at the party.",408,"10/6",408,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"52709",13,3,"binding3","6","happily",477,"Mr. Williams heard that the queen talked about himself happily at the party.",477,"13/6",477,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"53457",14,3,"binding3","6","happily",677,"Mr. Williams heard that the queen talked about himself happily at the party.",677,"14/6",677,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"56823",15,3,"binding3","6","happily",485,"Mr. Williams heard that the queen talked about himself happily at the party.",485,"15/6",485,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"66138",18,3,"binding3","6","happily",997,"Mr. Williams heard that the queen talked about himself happily at the party.",997,"18/6",997,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"74402",21,3,"binding3","6","happily",478,"Mr. Williams heard that the queen talked about himself happily at the party.",478,"21/6",478,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"83528",23,3,"binding3","6","happily",628,"Mr. Williams heard that the queen talked about himself happily at the party.",628,"23/6",628,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"130953",39,3,"binding3","6","happily",522,"Mr. Williams heard that the queen talked about himself happily at the party.",522,"39/6",522,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"140008",42,3,"binding3","6","happily",562,"Mr. Williams heard that the queen talked about himself happily at the party.",562,"42/6",562,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"141155",43,3,"binding3","6","happily",376,"Mr. Williams heard that the queen talked about himself happily at the party.",376,"43/6",376,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"13519",1,3,"binding4","6","happily",677,"Miss Kim heard that the queen talked about himself happily at the party.",677,"1/6",677,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"28788",4,3,"binding4","6","happily",484,"Miss Kim heard that the queen talked about himself happily at the party.",484,"4/6",484,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"32678",6,3,"binding4","6","happily",342,"Miss Kim heard that the queen talked about himself happily at the party.",342,"6/6",342,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"41328",9,3,"binding4","6","happily",447,"Miss Kim heard that the queen talked about himself happily at the party.",447,"9/6",447,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"48475",12,3,"binding4","6","happily",492,"Miss Kim heard that the queen talked about himself happily at the party.",492,"12/6",492,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"58831",16,3,"binding4","6","happily",520,"Miss Kim heard that the queen talked about himself happily at the party.",520,"16/6",520,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"68419",19,3,"binding4","6","happily",516,"Miss Kim heard that the queen talked about himself happily at the party.",516,"19/6",516,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"81841",22,3,"binding4","6","happily",452,"Miss Kim heard that the queen talked about himself happily at the party.",452,"22/6",452,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"86453",24,3,"binding4","6","happily",587,"Miss Kim heard that the queen talked about himself happily at the party.",587,"24/6",587,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"90842",25,3,"binding4","6","happily",438,"Miss Kim heard that the queen talked about himself happily at the party.",438,"25/6",438,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"100499",28,3,"binding4","6","happily",498,"Miss Kim heard that the queen talked about himself happily at the party.",498,"28/6",498,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"104459",30,3,"binding4","6","happily",484,"Miss Kim heard that the queen talked about himself happily at the party.",484,"30/6",484,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"119959",35,3,"binding4","6","happily",484,"Miss Kim heard that the queen talked about himself happily at the party.",484,"35/6",484,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"123115",36,3,"binding4","6","happily",525,"Miss Kim heard that the queen talked about himself happily at the party.",525,"36/6",525,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"144192",44,3,"binding4","6","happily",603,"Miss Kim heard that the queen talked about himself happily at the party.",603,"44/6",603,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"13456",1,4,"binding1","6","to take a break",974,"Miss Rose said that the lady allowed herself to take a break during work.",974,"1/6",974,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
