"","subject","item","list","phrase","word","rt","sentence","accessible_G","inaccessible_G","accessible","inaccessible"
"40064",9,1,"binding2","2","said that",574,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"40065",9,1,"binding2","3","the girl",570,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"40066",9,1,"binding2","4","cut",666,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"40067",9,1,"binding2","5","herself",611,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"40068",9,1,"binding2","6","with a knife",918,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"40069",9,1,"binding2","7","while cooking.",1390,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"48226",12,1,"binding2","1","Mr. Smith",949,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"48240",12,1,"binding2","2","said that",570,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"48241",12,1,"binding2","3","the girl",685,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"48242",12,1,"binding2","4","cut",351,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"48243",12,1,"binding2","5","herself",580,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"48244",12,1,"binding2","6","with a knife",897,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"48245",12,1,"binding2","7","while cooking.",1433,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"60485",16,1,"binding2","1","Mr. Smith",200,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"60486",16,1,"binding2","2","said that",465,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"60487",16,1,"binding2","3","the girl",375,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"60488",16,1,"binding2","4","cut",407,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
"60489",16,1,"binding2","5","herself",405,"Mr. Smith said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Mismatch","-0.5","0.5"
