"subject","item","ar","binding","group","binding_g","group_g"
"Native 17",4,"1",1,-1,"Non-Binding","Native"
"Native 18",4,"1",1,-1,"Non-Binding","Native"
"Native 37",4,"1",1,-1,"Non-Binding","Native"
"Native 38",4,"1",1,-1,"Non-Binding","Native"
"Native 39",4,"1",1,-1,"Non-Binding","Native"
"Native 40",4,"1",1,-1,"Non-Binding","Native"
"Native 41",4,"1",1,-1,"Non-Binding","Native"
"Native 42",4,"1",1,-1,"Non-Binding","Native"
"Native 43",4,"1",1,-1,"Non-Binding","Native"
"Native 44",4,"1",1,-1,"Non-Binding","Native"
"Native 45",4,"1",1,-1,"Non-Binding","Native"
"Native 46",4,"1",1,-1,"Non-Binding","Native"
"Native 47",4,"1",1,-1,"Non-Binding","Native"
"Native 48",4,"1",1,-1,"Non-Binding","Native"
"Native 49",4,"1",1,-1,"Non-Binding","Native"
"Native 50",4,"1",1,-1,"Non-Binding","Native"
"Native 51",4,"1",1,-1,"Non-Binding","Native"
"Native 52",4,"1",1,-1,"Non-Binding","Native"
"Native 53",4,"1",1,-1,"Non-Binding","Native"
"Native 54",4,"0",1,-1,"Non-Binding","Native"
"Native 1",5,"1",-1,-1,"Binding","Native"
"Native 2",5,"1",-1,-1,"Binding","Native"
"Native 3",5,"1",-1,-1,"Binding","Native"
"Native 4",5,"1",-1,-1,"Binding","Native"
"Native 5",5,"1",-1,-1,"Binding","Native"
"Native 6",5,"1",-1,-1,"Binding","Native"
"Native 7",5,"1",-1,-1,"Binding","Native"
"Native 8",5,"0",-1,-1,"Binding","Native"
"Native 9",5,"1",-1,-1,"Binding","Native"
"Native 10",5,"1",-1,-1,"Binding","Native"
"Native 11",5,"1",-1,-1,"Binding","Native"
"Native 12",5,"1",-1,-1,"Binding","Native"
"Native 13",5,"0",-1,-1,"Binding","Native"
"Native 14",5,"1",-1,-1,"Binding","Native"
"Native 15",5,"1",-1,-1,"Binding","Native"
"Native 16",5,"1",-1,-1,"Binding","Native"
"Native 17",5,"1",-1,-1,"Binding","Native"
"Native 18",5,"1",-1,-1,"Binding","Native"
"Native 37",5,"1",-1,-1,"Binding","Native"
"Native 38",5,"1",-1,-1,"Binding","Native"
"Native 39",5,"1",-1,-1,"Binding","Native"
"Native 40",5,"1",-1,-1,"Binding","Native"
"Native 41",5,"1",-1,-1,"Binding","Native"
"Native 42",5,"1",-1,-1,"Binding","Native"
"Native 43",5,"1",-1,-1,"Binding","Native"
"Native 44",5,"1",-1,-1,"Binding","Native"
"Native 45",5,"1",-1,-1,"Binding","Native"
"Native 46",5,"1",-1,-1,"Binding","Native"
"Native 47",5,"1",-1,-1,"Binding","Native"
"Native 48",5,"1",-1,-1,"Binding","Native"
"Native 49",5,"1",-1,-1,"Binding","Native"
"Native 50",5,"0",-1,-1,"Binding","Native"
"Native 51",5,"1",-1,-1,"Binding","Native"
"Native 52",5,"1",-1,-1,"Binding","Native"
"Native 53",5,"1",-1,-1,"Binding","Native"
"Native 54",5,"1",-1,-1,"Binding","Native"
"Native 19",5,"1",1,-1,"Non-Binding","Native"
"Native 20",5,"1",1,-1,"Non-Binding","Native"
"Native 21",5,"1",1,-1,"Non-Binding","Native"
"Native 22",5,"1",1,-1,"Non-Binding","Native"
"Native 23",5,"1",1,-1,"Non-Binding","Native"
"Native 24",5,"1",1,-1,"Non-Binding","Native"
"Native 25",5,"1",1,-1,"Non-Binding","Native"
"Native 26",5,"1",1,-1,"Non-Binding","Native"
"Native 27",5,"1",1,-1,"Non-Binding","Native"
"Native 28",5,"1",1,-1,"Non-Binding","Native"
"Native 29",5,"1",1,-1,"Non-Binding","Native"
"Native 30",5,"1",1,-1,"Non-Binding","Native"
"Native 31",5,"1",1,-1,"Non-Binding","Native"
"Native 32",5,"1",1,-1,"Non-Binding","Native"
"Native 33",5,"0",1,-1,"Non-Binding","Native"
"Native 34",5,"1",1,-1,"Non-Binding","Native"
"Native 35",5,"1",1,-1,"Non-Binding","Native"
"Native 36",5,"1",1,-1,"Non-Binding","Native"
"Native 55",5,"1",1,-1,"Non-Binding","Native"
"Native 56",5,"1",1,-1,"Non-Binding","Native"
"Native 57",5,"1",1,-1,"Non-Binding","Native"
"Native 58",5,"1",1,-1,"Non-Binding","Native"
"Native 59",5,"1",1,-1,"Non-Binding","Native"
"Native 60",5,"1",1,-1,"Non-Binding","Native"
"Native 61",5,"1",1,-1,"Non-Binding","Native"
"Native 62",5,"1",1,-1,"Non-Binding","Native"
"Native 63",5,"1",1,-1,"Non-Binding","Native"
"Native 64",5,"1",1,-1,"Non-Binding","Native"
"Native 65",5,"1",1,-1,"Non-Binding","Native"
"Native 66",5,"1",1,-1,"Non-Binding","Native"
"Native 67",5,"1",1,-1,"Non-Binding","Native"
"Native 68",5,"1",1,-1,"Non-Binding","Native"
"Native 69",5,"1",1,-1,"Non-Binding","Native"
"Native 70",5,"1",1,-1,"Non-Binding","Native"
"Native 71",5,"1",1,-1,"Non-Binding","Native"
"Native 72",5,"1",1,-1,"Non-Binding","Native"
"Native 19",6,"1",-1,-1,"Binding","Native"
"Native 20",6,"1",-1,-1,"Binding","Native"
"Native 21",6,"1",-1,-1,"Binding","Native"
"Native 22",6,"1",-1,-1,"Binding","Native"
"Native 23",6,"1",-1,-1,"Binding","Native"
"Native 24",6,"1",-1,-1,"Binding","Native"
"Native 25",6,"1",-1,-1,"Binding","Native"
"Native 26",6,"1",-1,-1,"Binding","Native"
"Native 27",6,"1",-1,-1,"Binding","Native"
"Native 28",6,"0",-1,-1,"Binding","Native"
"Native 29",6,"1",-1,-1,"Binding","Native"
"Native 30",6,"1",-1,-1,"Binding","Native"
"Native 31",6,"1",-1,-1,"Binding","Native"
"Native 32",6,"0",-1,-1,"Binding","Native"
"Native 33",6,"1",-1,-1,"Binding","Native"
