"subject","item","rt","accessible","inaccessible","group","region","trial","accessible_g","inaccessible_g","group_g","region_g"
"Native 7",2,"704",-1,1,-1,1,"Native 7 2","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 8",2,"512",-1,1,-1,-1,"Native 8 2","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 8",2,"567",-1,1,-1,1,"Native 8 2","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 9",2,"456",-1,1,-1,-1,"Native 9 2","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 9",2,"352",-1,1,-1,1,"Native 9 2","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 10",2,"368",-1,1,-1,-1,"Native 10 2","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 10",2,"297",-1,1,-1,1,"Native 10 2","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 11",2,"633",-1,1,-1,-1,"Native 11 2","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 11",2,"576",-1,1,-1,1,"Native 11 2","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 12",2,"401",-1,1,-1,-1,"Native 12 2","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 12",2,"524",-1,1,-1,1,"Native 12 2","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 13",2,"469",-1,1,-1,-1,"Native 13 2","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 13",2,"519",-1,1,-1,1,"Native 13 2","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 14",2,"584",-1,1,-1,-1,"Native 14 2","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 14",2,"573",-1,1,-1,1,"Native 14 2","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 15",2,"297",-1,1,-1,-1,"Native 15 2","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 15",2,"346",-1,1,-1,1,"Native 15 2","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 16",2,"589",-1,1,-1,-1,"Native 16 2","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 16",2,"629",-1,1,-1,1,"Native 16 2","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 17",2,"369",-1,1,-1,-1,"Native 17 2","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 17",2,"344",-1,1,-1,1,"Native 17 2","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 18",2,"464",-1,1,-1,-1,"Native 18 2","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 18",2,"344",-1,1,-1,1,"Native 18 2","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 19",2,"408",1,-1,-1,-1,"Native 19 2","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 19",2,"422",1,-1,-1,1,"Native 19 2","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 20",2,"648",1,-1,-1,-1,"Native 20 2","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 20",2,"1335",1,-1,-1,1,"Native 20 2","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 21",2,"351",1,-1,-1,-1,"Native 21 2","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 21",2,"301",1,-1,-1,1,"Native 21 2","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 22",2,"376",1,-1,-1,-1,"Native 22 2","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 22",2,"327",1,-1,-1,1,"Native 22 2","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
"Native 23",2,"352",1,-1,-1,-1,"Native 23 2","Accessible Mismatch","Inaccessible Match","Native","Critical Region"
"Native 23",2,"408",1,-1,-1,1,"Native 23 2","Accessible Mismatch","Inaccessible Match","Native","Spillover Region"
